OSEBuildingID,BuildingType,Neighborhood,BuildingAge,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),PrimaryProperty,LargestPropertyUseTypeGFA,SecondLargest,SecondLargestPropertyUseTypeGFA,ThirdLargest,ThirdLargestPropertyUseTypeGFA,NumberPropertyUseType,harvesine_distance,ENERGYSTARScore,SiteEnergyUse(kBtu)
19565,NONRESIDENTIAL,GREATER DUWAMISH,37,1.0,1,0,26380,STORAGE,23620.0,OFFICE AND BUSINESS,2760.0,UNDEFINED,,2,6.8227442459637935,,509124.0
19570,NONRESIDENTIAL,GREATER DUWAMISH,47,1.0,1,0,37351,STORAGE,29551.0,OFFICE AND BUSINESS,9569.0,UNDEFINED,,2,7.0299356426635935,10.0,2559461.75
19572,NONRESIDENTIAL,GREATER DUWAMISH,35,1.0,1,0,30375,STORAGE,30375.0,UNDEFINED,,UNDEFINED,,1,6.973516905836821,73.0,345866.6875
19576,NONRESIDENTIAL,GREATER DUWAMISH,37,1.0,1,0,30004,STORAGE,24280.0,OFFICE AND BUSINESS,4950.0,UNDEFINED,,2,6.965718343071114,,369291.5
19584,NONRESIDENTIAL,NORTHEAST,88,1.0,3,0,39971,OTHER SERVICES AND FACILITIES,36185.0,RETAIL AND PERSONAL SERVICES,3142.0,OFFICE AND BUSINESS,644.0,4,6.164135940142464,,10960107.0
19596,NONRESIDENTIAL,BALLARD,102,1.0,2,0,33589,OTHER SERVICES AND FACILITIES,33589.0,UNDEFINED,,UNDEFINED,,1,5.5829874171659,90.0,509836.1875
19613,NONRESIDENTIAL,BALLARD,37,1.0,3,0,43500,OFFICE AND BUSINESS,43495.0,UNDEFINED,,UNDEFINED,,1,4.7933718765922215,46.0,3220635.25
19621,NONRESIDENTIAL,BALLARD,38,1.0,2,0,28492,OFFICE AND BUSINESS,28492.0,UNDEFINED,,UNDEFINED,,1,5.944380802931848,12.0,1896298.875
19623,NONRESIDENTIAL,BALLARD,53,1.0,3,0,22325,OFFICE AND BUSINESS,18000.0,HEALTH AND MEDICAL,1800.0,OTHER SERVICES AND FACILITIES,1000.0,6,5.8676040846661275,,1401315.875
19624,NONRESIDENTIAL,BALLARD,39,1.0,3,0,22719,FOOD AND BEVERAGE,22719.0,PARKING,0.0,UNDEFINED,,2,5.852736346744369,,1358519.0
19654,NONRESIDENTIAL,DOWNTOWN,70,1.0,2,22000,22588,HEALTH AND MEDICAL,69000.0,UNDEFINED,,UNDEFINED,,1,0.6770366695082259,,7251589.0
19694,SPS-DISTRICT K-12,CENTRAL,91,1.0,2,0,37327,EDUCATION,48887.0,UNDEFINED,,UNDEFINED,,1,1.4590638249783234,92.0,1967476.375
19696,NONRESIDENTIAL,DOWNTOWN,99,1.0,2,0,147545,RETAIL AND PERSONAL SERVICES,147545.0,UNDEFINED,,UNDEFINED,,1,1.0064094631053278,69.0,6787070.0
